"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_label","deathDate","deathPlace_label","citizenship_label","nationality_label","stateOfOrigin_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label","nobel_prize"
"NULL","Theodor Mommsen","Pour le Mérite","1817-11-30","1817-01-01T00:00:00+02:00","{Duchy of Schleswig|Garding}","1903-11-01","{German Empire|Charlottenburg}","NULL","NULL","NULL","University of Kiel","{Classics|Historian|Jurist}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanClassicalScholars|GermanHistorians|GermanNobelLaureates|GermanProgressPartyPoliticians|HistoriansOfAntiquity|LiberalUnion(Germany)Politicians|Acquirer109764201|CausalAgent100007347|Classicist109926656|Historian110177150|Honoree110183757|Humanist110191192|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Politician110451263|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NationalLiberalParty(Germany)Politicians|NobelLaureatesInLiterature|PeopleFromNordfriesland|PeopleFromTheDuchyOfSchleswig|YagoLegalActor}","Nobel Prize in Literature"
"Frédéric Passy","Frédéric Passy","Nobel Peace Prize","1822-05-20","1822-01-01T00:00:00+02:00","{Paris|France}","1912-06-12","{Paris|France}","NULL","France","France","NULL","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|Adult109605289|CausalAgent100007347|Economist110043643|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Pacifist110390199|Person100007846|Recipient109627906|Scientist110560637|SocialScientist110619642|Whole100003553|YagoLegalActorGeo|FrenchEconomists|FrenchNobelLaureates|FrenchPacifists|PhysicalEntity100001930|NobelPeacePrizeLaureates|PeopleFromParis|YagoLegalActor}","Nobel Peace Prize"
"Jean Henri Dunant","Henry Dunant","Nobel Peace Prize","1828-05-08","1828-01-01T00:00:00+02:00","{Geneva|Restoration and Regeneration in Switzerland}","1910-10-30","Heiden Switzerland","Switzerland","Switzerland","Switzerland","NULL","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|YMCALeaders|Acquirer109764201|Benefactor109608709|CausalAgent100007347|GoodPerson110138767|Honoree110183757|Humanitarian110191613|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|SwissHumanitarians|SwissNobelLaureates|NobelPeacePrizeLaureates|PeopleFromGeneva|PeopleRelatedToTheRedCross|YagoLegalActor}","Nobel Peace Prize"
"NULL","Randal Cremer","NULL","1828-03-18","1828-01-01T00:00:00+02:00","Fareham","1908-07-22","NULL","NULL","NULL","NULL","NULL","NULL","{agent|person|politician|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|KnightsOfTheOrderOfSt.Olav|Acquirer109764201|Adult109605289|Aristocrat109807754|BritishAnti-warActivists|BritishNobelLaureates|BritishPacifists|CausalAgent100007347|Disputant109615465|Honoree110183757|Knight110238375|Laureate110249011|Leader109623038|LivingThing100004258|Militant110315837|Object100002684|Organism100004475|Pacifist110390199|Person100007846|Recipient109627906|Reformer110515194|Whole100003553|YagoLegalActorGeo|MaleAristocrat110285135|PhysicalEntity100001930|NobelPeacePrizeLaureates|YagoLegalActor}","Nobel Peace Prize"
"NULL","Auguste Marie François Beernaert","NULL","1829-07-26","1829-01-01T00:00:00+02:00","{Belgium|United Kingdom of the Netherlands|Ostend}","1912-10-06","{Switzerland|Lucerne}","NULL","NULL","NULL","Heidelberg University","NULL","{agent|office holder|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Officeholder110371450|Owner110389398|Acquirer109764201|Administrator109770949|BelgianMinistersOfState|BelgianNobelLaureates|CausalAgent100007347|Communicator109610660|Executive110069645|Head110162991|HeadOfState110164747|Holder110180178|Honoree110183757|Laureate110249011|Leader109623038|LivingThing100004258|Minister110320863|Negotiator110351874|Object100002684|Official110372373|Organism100004475|Person100007846|Politician110451263|President110467179|Recipient109627906|Representative110522035|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|CatholicParty(Belgium)Politicians|PhysicalEntity100001930|PresidentsOfTheBelgianChamberOfRepresentatives|PrimeMinistersOfBelgium|NobelPeacePrizeLaureates|PeopleFromOstend|YagoLegalActor}","Nobel Peace Prize"
"Paul Johann Ludwig von Heyse","Paul Heyse","NULL","1830-03-15","1830-01-01T00:00:00+02:00","{Berlin|Germany|German Confederation}","1914-04-02","{German Empire|Germany|Munich}","NULL","Germany","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanDramatistsAndPlaywrights|GermanNobelLaureates|GermanNovelists|GermanPoets|Acquirer109764201|CausalAgent100007347|Communicator109610660|Dramatist110030277|Honoree110183757|Laureate110249011|LivingThing100004258|Novelist110363573|Object100002684|Organism100004475|Person100007846|Poet110444194|Recipient109627906|Whole100003553|Writer110794014|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInLiterature|PeopleFromBerlin|PeopleFromTheProvinceOfBrandenburg|YagoLegalActor}","Nobel Prize in Literature"
"NULL","Frédéric Mistral","NULL","1830-09-08","1830-01-01T00:00:00+02:00","{Maillane|France}","1914-03-25","{Maillane|France}","NULL","France","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|PersonWithOccupation|Writer|19th-centuryFrenchWriters|Acquirer109764201|Aix-MarseilleUniversityAlumni|Alumnus109786338|CausalAgent100007347|Communicator109610660|Honoree110183757|Humanist110191192|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Philologist110423225|Recipient109627906|Scholar110557854|Whole100003553|Writer110794014|YagoLegalActorGeo|FrenchNobelLaureates|FrenchPhilologists|PhysicalEntity100001930|NobelLaureatesInLiterature|Occitan-languageWriters|PeopleFromBouches-du-Rh%C3%B4ne|PeopleFromProvence|YagoLegalActor}","Nobel Prize in Literature"
"Bjørnstjerne Martinius Bjørnson","Bjørnstjerne Bjørnson","NULL","1832-12-08","1832-01-01T00:00:00+02:00","{Norway|Union between Sweden and Norway|Kvikne}","1910-04-26","{Paris|French Third Republic}","NULL","Norway","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|PersonWithOccupation|Writer|Acquirer109764201|CausalAgent100007347|Communicator109610660|Dramatist110030277|Editor110044879|Honoree110183757|Laureate110249011|LivingThing100004258|NewspaperEditor110356450|Object100002684|Organism100004475|Person100007846|Recipient109627906|SkilledWorker110605985|Whole100003553|Worker109632518|Writer110794014|YagoLegalActorGeo|PhysicalEntity100001930|NationalAnthemWriters|NobelLaureatesInLiterature|NorwegianDramatistsAndPlaywrights|NorwegianNewspaperEditors|NorwegianNobelLaureates|NorwegianWriters|PeopleFromMolde|PeopleFromTynset|YagoLegalActor}","Nobel Prize in Literature"
"NULL","José Echegaray","NULL","1832-04-19","1832-01-01T00:00:00+02:00","{Spain|Madrid}","1916-09-14","{Spain|Madrid}","NULL","Spain","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|PersonWithOccupation|Writer|19th-centuryMathematicians|Acquirer109764201|CausalAgent100007347|Communicator109610660|Dramatist110030277|Honoree110183757|Laureate110249011|LivingThing100004258|Mathematician110301261|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|Writer110794014|YagoLegalActorGeo|PhysicalEntity100001930|SpanishDramatistsAndPlaywrights|SpanishMathematicians|SpanishNobelLaureates|NobelLaureatesInLiterature|PeopleFromMadrid|YagoLegalActor}","Nobel Prize in Literature"
"NULL","Ernesto Teodoro Moneta","NULL","1833-09-20","1833-01-01T00:00:00+02:00","NULL","1918-02-10","NULL","NULL","NULL","NULL","NULL","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|ItalianNobelLaureates|Acquirer109764201|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelPeacePrizeLaureates|PeopleFromMilan|YagoLegalActor}","Nobel Peace Prize"
