"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_labeldeathDate","deathPlace_label","citizenship_label","nationality_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label"
"Johann Friedrich Wilhelm Adolf von Baeyer","Adolf von Baeyer","{Davy Medal|Nobel Prize in Chemistry}","1835-10-31","1835-01-01T00:00:00+02:00","NULL","{German Empire|Germany|Starnberg}","NULL","Germany","Humboldt University of Berlin","Organic chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|Acquirer109764201|Associate109816771|CausalAgent100007347|Chemist109913824|Colleague109935990|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|FellowsOfTheAmericanAcademyOfArtsAndSciences|PhysicalEntity100001930|NobelLaureatesInChemistry|OrganicChemists|PeopleFromBerlin|YagoLegalActor}"
"NULL","Fredrik Bajer","Nobel Peace Prize","1837-04-21","1837-01-01T00:00:00+02:00","NULL","NULL","NULL","Denmark","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|CausalAgent100007347|Communicator109610660|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Whole100003553|Writer110794014|YagoLegalActorGeo|DanishNobelLaureates|DanishWriters|PhysicalEntity100001930|NobelPeacePrizeLaureates|YagoLegalActor}"
"NULL","Johannes Diderik van der Waals","Nobel Prize in Physics","1837-11-23","1837-01-01T00:00:00+02:00","NULL","Amsterdam","NULL","NULL","Leiden University","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|LeidenUniversityAlumni|TheoreticalPhysicists|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DutchNobelLaureates|DutchPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromLeiden|YagoLegalActor}"
"Tobias Michel Karel Asser","Tobias Asser","Nobel Peace Prize","1838-04-28","1838-01-01T00:00:00+02:00","NULL","{Netherlands|The Hague}","NULL","NULL","{University of Amsterdam|Leiden University}","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|InternationalLawScholars|JewishScientists|LeidenUniversityAlumni|Acquirer109764201|Adult109605289|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|Lawyer110249950|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DutchLawyers|DutchLegalScholars|DutchNobelLaureates|PhysicalEntity100001930|NobelPeacePrizeLaureates|PeopleFromAmsterdam|YagoLegalActor}"
"Robert Heinrich Herman Koch","Robert Koch","Nobel Prize in Physiology or Medicine","1843-12-11","1843-01-01T00:00:00+02:00","NULL","{Baden-Baden|Grand Duchy of Baden}","NULL","Germany","University of Göttingen","Microbiology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanBiologists|GermanInventors|GermanMicrobiologists|GermanNobelLaureates|GermanPhysicians|Acquirer109764201|Adult109605289|Biologist109855630|CausalAgent100007347|Creator109614315|Doctor110020890|HealthProfessional110165109|Honoree110183757|Inventor110214637|Laureate110249011|LivingThing100004258|Microbiologist110313580|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromGoslar(district)|PeopleFromTheKingdomOfHanover|YagoLegalActor}"
"NULL","Bertha von Suttner","Nobel Peace Prize","1843-06-09","1843-01-01T00:00:00+02:00","NULL","{Austria-Hungary|Vienna}","NULL","NULL","NULL","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|WomenNobelLaureates|19th-centuryAustrianPeople|19th-centuryCzechPeople|Acquirer109764201|Adult109605289|Agnostic109779124|AustrianAgnostics|AustrianJournalists|AustrianNobelLaureates|AustrianNovelists|AustrianPacifists|AustrianPeopleOfCzechDescent|Austro-HungarianNobelLaureates|Austro-HungarianWriters|CausalAgent100007347|Communicator109610660|Honoree110183757|Journalist110224578|Laureate110249011|LivingThing100004258|Novelist110363573|Object100002684|Organism100004475|Pacifist110390199|Person100007846|Recipient109627906|Whole100003553|Writer110794014|YagoLegalActorGeo|CzechJournalists|CzechNobelLaureates|CzechNovelists|CzechPacifists|PhysicalEntity100001930|NobelPeacePrizeLaureates|PeopleFromPrague|YagoLegalActor}"
"NULL","Camillo Golgi","Nobel Prize in Physiology or Medicine","1843-07-07","1843-01-01T00:00:00+02:00","NULL","{Kingdom of Italy|Pavia}","{Kingdom of Italy|Austrian Empire}","Italians","NULL","Neuroscience","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|ItalianAnatomists|ItalianNeuroscientists|ItalianNobelLaureates|ItalianPathologists|Lawgiver110249270|Acquirer109764201|Adult109605289|Anatomist109792237|Biologist109855630|CausalAgent100007347|Diagnostician110011074|Doctor110020890|Expert109617867|HealthProfessional110165109|Honoree110183757|Laureate110249011|Leader109623038|Legislator110253995|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Politician110451263|Professional110480253|Recipient109627906|Scientist110560637|Senator110578471|Specialist110632576|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|SenatorsOfTheKingdomOfItaly|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|Pathologists|PeopleFromPavia|PeopleFromTheProvinceOfBrescia|YagoLegalActor}"
"Jonas Ferdinand Gabriel Lippmann","Gabriel Lippmann","Nobel Prize in Physics","1845-08-16","1845-01-01T00:00:00+02:00","NULL","SS France (1910)","NULL","NULL","École Normale Supérieure","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishInventors|JewishScientists|LuxembourgianInventors|LuxembourgianNobelLaureates|LuxembourgianPeopleOfFrenchDescent|Lyc%C3%A9eHenri-IVAlumni|Acquirer109764201|AlumniOfThe%C3%89coleNormaleSup%C3%A9rieure|Alumnus109786338|CausalAgent100007347|Creator109614315|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColorScientists|ExperimentalPhysicists|FrenchNobelLaureates|FrenchPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromLuxembourg(city)|PeopleWhoDiedAtSea|YagoLegalActor}"
"NULL","Charles Louis Alphonse Laveran","Nobel Prize in Physiology or Medicine","1845-06-18","1845-01-01T00:00:00+02:00","NULL","{Paris|France}","NULL","France","University of Strasbourg","{Parasitology|Tropical medicine}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|wgs84_pos#SpatialThing|Scientist|Acquirer109764201|Adult109605289|CausalAgent100007347|Doctor110020890|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|FrenchNobelLaureates|FrenchPhysicians|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}"
"NULL","Élie Metchnikoff","Nobel Prize in Physiology or Medicine","1845-05-16","1845-01-01T00:00:00+02:00","NULL","{Paris|France}","NULL","Russian Empire","NULL","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Immunologists|JewishScientists|UkrainianPeopleOfRomanianDescent|Acquirer109764201|AlumniOfKharkivUniversity|Alumnus109786338|CausalAgent100007347|Creator109614315|Honoree110183757|Immunologist110199902|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|MedicalScientist110306004|PhysicalEntity100001930|RussianInventors|RussianNobelLaureates|RussianPeopleOfUkrainianDescent|RussianScientists|NobelLaureatesInPhysiologyOrMedicine|PeopleFromKharkivOblast|YagoLegalActor}"
"NULL","Otto Wallach","Nobel Prize in Chemistry","1847-03-27","1847-01-01T00:00:00+02:00","NULL","{Göttingen|Weimar Republic}","NULL","{German Empire|Kingdom of Prussia}","University of Göttingen","Organic chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|GermanPeopleOfJewishDescent|Acquirer109764201|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromK%C3%B6nigsberg|PeopleFromTheProvinceOfPrussia|YagoLegalActor}"
"NULL","Ivan Pavlov","Nobel Prize in Physiology or Medicine","{1849-09-14|1849-09-26}","1849-01-01T00:00:00+02:00","NULL","{Soviet Union|Saint Petersburg}","NULL","{Soviet Union|Russians}","Saint Petersburg State University","{Physician|Physiology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Acquirer109764201|Alumnus109786338|AnimalTrainer110159045|AnimalTrainers|Atheist109820044|Biologist109855630|CausalAgent100007347|Disbeliever110015897|Educationist110045454|Expert109617867|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|NonreligiousPerson109625789|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Specialist110631941|Trainer110722575|Whole100003553|YagoLegalActorGeo|Zoologist110806222|Ethologist110065911|Ethologists|PhysicalEntity100001930|RussianAtheists|RussianEducationists|RussianNobelLaureates|RussianScientists|SaintPetersburgStateUniversityAlumni|SovietScientists|NobelLaureatesInPhysiologyOrMedicine|PeopleFromRyazan|PeopleFromSaintPetersburg|YagoLegalActor}"
"NULL","Charles Richet","Nobel Prize in Physiology or Medicine","1850-08-25","1850-01-01T00:00:00+02:00","NULL","Paris","NULL","NULL","NULL","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Biologist109855630|CausalAgent100007347|Communicator109610660|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Occultist110370381|Organism100004475|Person100007846|Physiologist110429965|Psychologist110488865|Recipient109627906|Scientist110560637|Whole100003553|Writer110794014|YagoLegalActorGeo|FrenchNobelLaureates|FrenchOccultists|FrenchPhysiologists|FrenchWritersOnParanormalTopics|Parapsychologist110398806|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|Parapsychologists|YagoLegalActor}"
"NULL","Karl Ferdinand Braun","Nobel Prize in Physics","1850-06-06","1850-01-01T00:00:00+02:00","NULL","Brooklyn","NULL","Germans","{Humboldt University of Berlin|University of Marburg}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanInventors|GermanNobelLaureates|GermanPhysicists|Acquirer109764201|CausalAgent100007347|Creator109614315|Honoree110183757|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|ExperimentalPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromFulda|PeopleFromTheElectorateOfHesse|YagoLegalActor}"
"NULL","Jacobus Henricus van 't Hoff","Nobel Prize in Chemistry","1852-08-30","1852-01-01T00:00:00+02:00","NULL","{German Empire|Steglitz}","NULL","NULL","{Utrecht University|Delft University of Technology|Leiden University|University of Bonn|University of Paris}","{Organic chemistry|Physical chemistry}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|LeidenUniversityAlumni|UtrechtUniversityAlumni|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DutchChemists|DutchNobelLaureates|DutchPhysicalChemists|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromRotterdam|PhysicalChemists|YagoLegalActor}"
"NULL","Henri Becquerel","Nobel Prize in Physics","1852-12-15","1852-01-01T00:00:00+02:00","NULL","{Brittany|French Third Republic|Second French Empire|Le Croisic}","NULL","NULL","{École Polytechnique|École des ponts ParisTech}","{Chemistry|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Acquirer109764201|AlumniOfThe%C3%89colePolytechnique|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|NuclearPhysicist110364643|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ExperimentalPhysicists|FrenchNobelLaureates|FrenchNuclearPhysicists|FrenchPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromParis|YagoLegalActor}"
"Ferdinand Frederick Henri Moissan","Henri Moissan","{Davy Medal|Nobel Prize in Chemistry|Elliott Cresson Medal}","1852-09-28","1852-01-01T00:00:00+02:00","NULL","{Paris|France}","NULL","France","{École pratique des hautes études|Coll%C3%A8ge_de_Meaux}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|InorganicChemists|Acquirer109764201|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|FrenchChemists|FrenchNobelLaureates|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromParis|YagoLegalActor}"
"NULL","Albert Abraham Michelson","{Henry Draper Medal|Nobel Prize in Physics|Copley Medal}","{1852-12-19|1852-12-29}","1852-01-01T00:00:00+02:00","NULL","Pasadena California","NULL","NULL","{Humboldt University of Berlin|United States Naval Academy}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|JewishAgnostics|JewishInventors|JewishScientists|UnitedStatesNavalAcademyAlumni|UnitedStatesNavyOfficers|Acquirer109764201|Agnostic109779124|Alumnus109786338|AmericanAgnostics|AmericanPeopleOfGerman-JewishDescent|AmericanPhysicists|CausalAgent100007347|Creator109614315|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|MilitaryOfficer110317007|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|ExperimentalPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|OpticalPhysicists|PeopleFromStrzelno|PeopleFromTheProvinceOfPosen|YagoLegalActor}"
"Hermann Emil Louis Fischer","Hermann Emil Fischer","{Nobel Prize in Chemistry|Elliott Cresson Medal}","1852-10-09","1852-01-01T00:00:00+02:00","NULL","Berlin","NULL","NULL","{University of Strasbourg|University of Bonn}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanBiochemists|GermanNobelLaureates|Acquirer109764201|Biochemist109854915|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|ScientistsWhoCommittedSuicide|NobelLaureatesInChemistry|OrganicChemists|PeopleFromEuskirchen|PeopleFromTheRhineProvince|YagoLegalActor}"
"NULL","Santiago Ramón y Cajal","Nobel Prize in Physiology or Medicine","1852-05-01","1852-01-01T00:00:00+02:00","NULL","{Spain|Madrid}","NULL","Spain","NULL","Neuroscience","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Academician109759069|AcademicsOfTheComplutenseUniversityOfMadrid|Acquirer109764201|Adult109605289|Anatomist109792237|Anatomists|Biologist109855630|CausalAgent100007347|Diagnostician110011074|Doctor110020890|Educator110045713|Expert109617867|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|SpanishNobelLaureates|SpanishPhysicians|NavarresePeople|Neurobiologist110353928|Neuroscientists|NobelLaureatesInPhysiologyOrMedicine|Pathologists|YagoLegalActor}"
"NULL","William Ramsay","{Nobel Prize in Chemistry|Elliott Cresson Medal}","1852-10-02","1852-01-01T00:00:00+02:00","NULL","{Buckinghamshire|High Wycombe}","NULL","NULL","{University of Tübingen|University of Strathclyde}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HonoraryFellowsOfTheRoyalSocietyOfEdinburgh|19th-centuryChemists|19th-centuryScottishPeople|20th-centuryChemists|20th-centuryScottishPeople|Academician109759069|AcademicsOfTheUniversityOfBristol|AcademicsOfTheUniversityOfGlasgow|AcademicsOfTheUniversityOfStrathclyde|AcademicsOfUniversityCollegeLondon|Acquirer109764201|Adult109605289|AlumniOfTheUniversityOfGlasgow|Alumnus109786338|Aristocrat109807754|Associate109816771|CausalAgent100007347|Chemist109913824|Colleague109935990|Creator109614315|Educator110045713|Honoree110183757|Intellectual109621545|Inventor110214637|Knight110238375|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DiscoverersOfChemicalElements|FellowsOfTheRoyalSociety|MaleAristocrat110285135|PhysicalEntity100001930|ScottishChemists|ScottishKnights|ScottishNobelLaureates|NobelLaureatesInChemistry|PeopleEducatedAtGlasgowAcademy|PeopleFromGlasgow|YagoLegalActor}"
"NULL","Albrecht Kossel","Nobel Prize in Physiology or Medicine","1853-09-16","1853-01-01T00:00:00+02:00","NULL","{Germany|Heidelberg}","NULL","NULL","{University of Rostock|University of Strasbourg}","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanNobelLaureates|GermanPhysiologists|Acquirer109764201|Biologist109855630|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physiologist110429965|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromMecklenburg-Schwerin|PeopleFromRostock|YagoLegalActor}"
"Friedrich Wilhelm Ostwald","Wilhelm Ostwald","Nobel Prize in Chemistry","1853-09-02","1853-01-01T00:00:00+02:00","NULL","{Leipzig|Weimar Republic|Großbothen}","NULL","{Germans|Baltic Germans}","University of Tartu","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|Acquirer109764201|Adult109605289|Alumnus109786338|Associate109816771|Baltic-GermanPeople|CausalAgent100007347|Chemist109913824|Colleague109935990|Educator110045713|Honoree110183757|Intellectual109621545|Laureate110249011|Lector110252222|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|FaradayLecturers|FellowsOfTheLeopoldina|PhysicalEntity100001930|RigaTechnicalUniversityAlumni|NobelLaureatesInChemistry|PeopleFromRiga|PeopleFromTheGovernorateOfLivonia|PhysicalChemists|YagoLegalActor}"
"Adolf Emil Behring","Emil Adolf von Behring","Nobel Prize in Physiology or Medicine","1854-03-15","1854-01-01T00:00:00+02:00","NULL","{Hesse-Nassau|Marburg}","NULL","Germany","NULL","{Immunology|Physiology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanNobelLaureates|GermanPhysicians|GermanPhysiologists|Immunologists|Acquirer109764201|Adult109605289|Associate109816771|Biologist109855630|CausalAgent100007347|Colleague109935990|Doctor110020890|HealthProfessional110165109|Honoree110183757|Immunologist110199902|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physiologist110429965|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|FellowsOfTheAmericanAcademyOfArtsAndSciences|MedicalPractitioner110305802|MedicalScientist110306004|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromI%C5%82awaCounty|PeopleFromTheProvinceOfPrussia|YagoLegalActor}"
"NULL","Paul Ehrlich","Nobel Prize in Physiology or Medicine","1854-03-14","1854-01-01T00:00:00+02:00","NULL","{Bad Homburg vor der Höhe|Hesse}","NULL","NULL","NULL","Immunology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanBiologists|GermanNobelLaureates|GermanScientists|Immunologists|JewishInventors|JewishScientists|19th-centuryBiologists|19th-centuryGermanPeople|19th-centuryScientists|Acquirer109764201|Biologist109855630|CausalAgent100007347|Creator109614315|Honoree110183757|Immunologist110199902|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|MedicalScientist110306004|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromTheProvinceOfSilesia|YagoLegalActor}"
"NULL","Paul Sabatier (chemist)","{Franklin Medal|Nobel Prize in Chemistry}","1854-11-05","1854-01-01T00:00:00+02:00","NULL","{Toulouse|France}","NULL","France","Collège de France","Inorganic chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|InorganicChemists|Acquirer109764201|AlumniOfThe%C3%89coleNormaleSup%C3%A9rieure|Alumnus109786338|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|FrenchChemists|FrenchNobelLaureates|PhysicalEntity100001930|NobelLaureatesInChemistry|YagoLegalActor}"
"NULL","Ronald Ross","Nobel Prize in Physiology or Medicine","1857-05-13","1857-01-01T00:00:00+02:00","NULL","{England|London}","NULL","United Kingdom","{Barts and The London School of Medicine and Dentistry|Worshipful Society of Apothecaries}","Medicine","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|IndianMedicalServiceOfficers|Acquirer109764201|Adult109605289|AlumniOfTheMedicalCollegeOfStBartholomew'sHospital|Alumnus109786338|Associate109816771|BritishMathematicians|BritishMedicalDoctors|BritishNobelLaureates|BritishNovelists|BritishPoets|CausalAgent100007347|Colleague109935990|Communicator109610660|Contestant109613191|Doctor110020890|Golfer110136959|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Mathematician110301261|Medalist110304914|MilitaryOfficer110317007|Novelist110363573|Object100002684|Organism100004475|Peer109626238|Person100007846|Player110439851|Poet110444194|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Whole100003553|Worker109632518|Writer110794014|YagoLegalActorGeo|Epidemiologist110061882|Epidemiologists|FellowsOfTheRoyalCollegeOfSurgeons|FellowsOfTheRoyalSociety|MedicalPractitioner110305802|MedicalScientist110306004|PhysicalEntity100001930|RoyalMedalWinners|NobelLaureatesInPhysiologyOrMedicine|PeopleFromAlmora|YagoLegalActor}"
"NULL","Julius Wagner-Jauregg","Nobel Prize in Physiology or Medicine","1857-03-07","1857-01-01T00:00:00+02:00","NULL","Vienna","NULL","NULL","University of Vienna","{Pathology|Psychiatry}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|Adult109605289|AustrianNeuroscientists|AustrianNobelLaureates|AustrianPhysicians|Biologist109855630|CausalAgent100007347|Doctor110020890|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|PeopleFromWels|YagoLegalActor}"
