"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_label","deathDate","deathPlace_label","citizenship_label","nationality_label","stateOfOrigin_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label","nobel_prize","corrected_nationality"
"NULL","Jaroslav Heyrovský","{Royal Society|Nobel Prize in Chemistry}","1890-12-20","1890-01-01T00:00:00+02:00","{Bohemia|Prague|Kingdom of Bohemia}","1967-03-27","{Czechoslovakia|England|Prague|Cambridge}","NULL","Czech Republic","NULL","{Charles University in Prague|University College London}","{Analytical chemistry|Polarography}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Academician109759069|Acquirer109764201|Adult109605289|CausalAgent100007347|Chemist109913824|Creator109614315|Educator110045713|Honoree110183757|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|CzechAcademics|CzechChemists|CzechInventors|CzechNobelLaureates|CzechScientists|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromPrague|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Hermann Joseph Muller","{American Humanist Association|Royal Society|Nobel Prize in Physiology or Medicine|Linnean Society of London}","1890-12-21","1890-01-01T00:00:00+02:00","{New York City|United States}","1967-04-05","{Indianapolis|United States}","NULL","United States","NULL","NULL","{Genetics|Molecular biology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GuggenheimFellows|Acquirer109764201|Alumnus109786338|AmericanAtheists|AmericanBiologists|AmericanGeneticists|AmericanHumanists|AmericanNobelLaureates|Associate109816771|Atheist109820044|Biologist109855630|Biophysicist109856267|Biophysicists|CausalAgent100007347|Colleague109935990|Disbeliever110015897|Geneticist110126424|Honoree110183757|Humanist110191192|Intellectual109621545|Laureate110249011|LivingThing100004258|NonreligiousPerson109625789|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Recipient109627906|ResearchWorker110523076|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaUniversityAlumni|CornellUniversityAlumni|PhysicalEntity100001930|RadiationHealthEffectsResearchers|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"Frederick Grant Banting","Frederick Banting","Nobel Prize in Physiology or Medicine","1891-11-14","1891-01-01T00:00:00+02:00","{Ontario|Alliston|Canada}","1941-02-21","{Newfoundland and Labrador|Dominion of Newfoundland|Canada|Newfoundland}","NULL","Canada","NULL","University of Toronto","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Acquirer109764201|Adult109605289|Aristocrat109807754|Associate109816771|CanadianExpeditionaryForceOfficers|CanadianKnights|CanadianMedicalResearchers|CanadianNobelLaureates|CanadianPhysicians|CausalAgent100007347|Colleague109935990|Doctor110020890|HealthProfessional110165109|Honoree110183757|Knight110238375|Laureate110249011|Leader109623038|LivingThing100004258|MilitaryOfficer110317007|Object100002684|Organism100004475|Peer109626238|Person100007846|Professional110480253|Recipient109627906|ResearchWorker110523076|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|FellowsOfTheRoyalSociety|FellowsOfTheRoyalSocietyOfCanada|MaleAristocrat110285135|MedicalPractitioner110305802|PhysicalEntity100001930|NationalHistoricPersonsOfCanada|NobelLaureatesInPhysiologyOrMedicine|PeopleFromLondonOntario|PeopleFromSimcoeCounty|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","John Howard Northrop","{Nobel Prize in Chemistry|Daniel Giraud Elliot Medal}","1891-07-05","1891-01-01T00:00:00+02:00","{Yonkers New York|United States}","1987-05-27","{Wickenburg Arizona|United States}","NULL","NULL","NULL","Columbia University","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Acquirer109764201|Alumnus109786338|AmericanChemists|AmericanNobelLaureates|Associate109816771|CausalAgent100007347|Chemist109913824|Colleague109935990|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaUniversityAlumni|FellowsOfTheAmericanAcademyOfArtsAndSciences|PhysicalEntity100001930|RockefellerUniversityPeople|ScientistsWhoCommittedSuicide|NobelLaureatesInChemistry|PeopleFromMaricopaCountyArizona|PeopleFromYonkersNewYork|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"Ivan Andrić","Ivo Andrić","Nobel Prize in Literature","1892-10-09","1892-01-01T00:00:00+02:00","{Austria-Hungary|Travnik|Austro-Hungarian rule in Bosnia and Herzegovina}","1975-03-13","{Socialist Federal Republic of Yugoslavia|Belgrade|Socialist Republic of Serbia}","NULL","Croatia","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|Writer|YugoslavNobelLaureates|YugoslavWriters|Acquirer109764201|AlumniOfJagiellonianUniversity|Alumnus109786338|CausalAgent100007347|Communicator109610660|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Novelist110363573|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Whole100003553|Writer110794014|YagoLegalActorGeo|CroatianNovelists|CroatianWritersFromBosniaAndHerzegovina|PhysicalEntity100001930|SerbianNovelists|SerbianWriters|NobelLaureatesInLiterature|PeopleFromBelgrade|PeopleFromTravnik|YagoLegalActor}","Nobel Prize in Literature","NULL"
"NULL","Louis de Broglie","Nobel Prize in Physics","1892-08-15","1892-01-01T00:00:00+02:00","{France|Dieppe}","1987-03-19","{Paris|France|Louveciennes}","NULL","France","NULL","University of Paris","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|TheoreticalPhysicists|Acquirer109764201|Aristocrat109807754|CausalAgent100007347|Duke110038620|Honoree110183757|Laureate110249011|Leader109623038|LivingThing100004258|MilitaryOfficer110317007|Noble110271677|Object100002684|Organism100004475|Peer110412910|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|DukesOfBroglie|FrenchNobelLaureates|FrenchPhysicists|MaleAristocrat110285135|PhysicalEntity100001930|QuantumPhysicists|NobelLaureatesInPhysics|OfficersOfTheFrenchAcademyOfSciences|PeopleFromDieppeSeine-Maritime|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","George Paget Thomson","{Nobel Prize in Physics|Franklin Institute}","1892-05-03","1892-01-01T00:00:00+02:00","{Cambridge|United Kingdom}","1975-09-10","{Cambridge|United Kingdom}","NULL","United Kingdom","NULL","Trinity College Cambridge","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Academician109759069|AcademicsOfImperialCollegeLondon|AcademicsOfTheUniversityOfAberdeen|Acquirer109764201|Adult109605289|AlumniOfTrinityCollegeCambridge|Alumnus109786338|Associate109816771|BritishNobelLaureates|BritishNuclearPhysicists|CausalAgent100007347|Colleague109935990|Communicator109610660|Contestant109613191|Educator110045713|Golfer110136959|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Medalist110304914|MilitaryOfficer110317007|Negotiator110351874|NuclearPhysicist110364643|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Player110439851|President110467179|Professional110480253|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|EnglishPhysicists|ExperimentalPhysicists|FellowsOfCorpusChristiCollegeCambridge|FellowsOfTheRoyalSociety|PhysicalEntity100001930|PresidentsOfTheInstituteOfPhysics|Queen'sRoyalRegimentOfficers|RoyalMedalWinners|NobelLaureatesInPhysics|PeopleEducatedAtThePerseSchool|PeopleFromCambridge|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Corneille Heymans","Nobel Prize in Physiology or Medicine","1892-03-28","1892-01-01T00:00:00+02:00","{Flanders|Ghent}","1968-07-18","{Flanders|Knokke}","NULL","Belgium","NULL","Ghent University","Physiology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GhentUniversityAlumni|Academician109759069|AcademicsOfUniversityCollegeLondon|Acquirer109764201|Adult109605289|Alumnus109786338|BelgianAcademics|BelgianNobelLaureates|BelgianPhysiologists|BelgianScientists|Biologist109855630|CausalAgent100007347|Educator110045713|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physiologist110429965|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromGhent|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Harold Urey","{Royal Society|J. Lawrence Smith Medal|Franklin Medal|Nobel Prize in Chemistry|Gold Medal of the Royal Astronomical Society|Priestley Medal|Willard Gibbs Award|Medal for Merit}","1893-04-29","1893-01-01T00:00:00+02:00","Walkerton Indiana","1981-01-05","La Jolla","NULL","NULL","NULL","{Earlham College|University of California Berkeley|University of Montana}","Physical chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|ManhattanProjectPeople|Acquirer109764201|Alumnus109786338|AmericanAstronomers|AmericanChemists|AmericanNobelLaureates|Astronomer109818343|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaUniversityAlumni|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromLeoniaNewJersey|PeopleFromSt.JosephCountyIndiana|PhysicalChemists|PlanetaryScientists|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Edward Adelbert Doisy","{Nobel Prize in Physiology or Medicine|Willard Gibbs Award}","1893-11-13","1893-01-01T00:00:00+02:00","{Hume Illinois|United States}","1986-10-23","{St. Louis|United States}","NULL","United States","NULL","NULL","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanBiochemists|AmericanNobelLaureates|Biochemist109854915|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromEdgarCountyIllinois|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
