"name","Alma_mater"
"Adolf von Baeyer","Humboldt University of Berlin"
"Johannes Diderik van der Waals","Leiden University"
"Tobias Asser","University of Amsterdam"
"Tobias Asser","Leiden University"
"Robert Koch","University of Göttingen"
"Gabriel Lippmann","École Normale Supérieure"
"Charles Louis Alphonse Laveran","University of Strasbourg"
"Otto Wallach","University of Göttingen"
"Ivan Pavlov","Saint Petersburg State University"
"Karl Ferdinand Braun","Humboldt University of Berlin"
"Karl Ferdinand Braun","University of Marburg"
"Jacobus Henricus van 't Hoff","Utrecht University"
"Jacobus Henricus van 't Hoff","Delft University of Technology"
"Jacobus Henricus van 't Hoff","Leiden University"
"Jacobus Henricus van 't Hoff","University of Bonn"
"Jacobus Henricus van 't Hoff","University of Paris"
"Henri Becquerel","École Polytechnique"
"Henri Becquerel","École des ponts ParisTech"
"Henri Moissan","École pratique des hautes études"
"Henri Moissan","Coll%C3%A8ge_de_Meaux"
"Albert Abraham Michelson","Humboldt University of Berlin"
"Albert Abraham Michelson","United States Naval Academy"
"Hermann Emil Fischer","University of Strasbourg"
"Hermann Emil Fischer","University of Bonn"
"William Ramsay","University of Tübingen"
"William Ramsay","University of Strathclyde"
"Albrecht Kossel","University of Rostock"
"Albrecht Kossel","University of Strasbourg"
"Wilhelm Ostwald","University of Tartu"
"Paul Sabatier (chemist)","Collège de France"
"Ronald Ross","Barts and The London School of Medicine and Dentistry"
"Ronald Ross","Worshipful Society of Apothecaries"
"Julius Wagner-Jauregg","University of Vienna"
"Charles Scott Sherrington","Royal College of Surgeons of England"
"Charles Scott Sherrington","Ipswich School"
"Charles Scott Sherrington","Gonville and Caius College Cambridge"
"Theodore Roosevelt","Harvard University"
"Theodore Roosevelt","Columbia Law School"
"Pierre Curie","Sorbonne"
"Eduard Buchner","Ludwig Maximilian University of Munich"
"Willem Einthoven","Utrecht University"
"Frederick Gowland Hopkins","Guy's Hospital"
"Frederick Gowland Hopkins","King's College London"
"Charles Édouard Guillaume","ETH Zurich"
"Philipp Lenard","Heidelberg University"
"Walther Nernst","Humboldt University of Berlin"
"Walther Nernst","University of Zurich"
"Walther Nernst","University of Würzburg"
"Walther Nernst","University of Graz"
"Wilhelm Wien","Humboldt University of Berlin"
"Wilhelm Wien","University of Göttingen"
"Arthur Harden","University of Manchester"
