"name","Alma_mater"
"Theodor Mommsen","University of Kiel"
"Auguste Marie François Beernaert","Heidelberg University"
"Adolf von Baeyer","Humboldt University of Berlin"
"Johannes Diderik van der Waals","Leiden University"
"Tobias Asser","University of Amsterdam"
"Tobias Asser","Leiden University"
"Robert Koch","University of Göttingen"
"Elihu Root","Hamilton College (New York)"
"Elihu Root","New York University School of Law"
"Gabriel Lippmann","École Normale Supérieure"
"Charles Louis Alphonse Laveran","University of Strasbourg"
"Wilhelm Röntgen","University of Zurich"
"Wilhelm Röntgen","ETH Zurich"
"Otto Wallach","University of Göttingen"
"Ivan Pavlov","Saint Petersburg State University"
"Karl Ferdinand Braun","Humboldt University of Berlin"
"Karl Ferdinand Braun","University of Marburg"
"Jacobus Henricus van 't Hoff","Utrecht University"
"Jacobus Henricus van 't Hoff","Delft University of Technology"
"Jacobus Henricus van 't Hoff","Leiden University"
"Jacobus Henricus van 't Hoff","University of Bonn"
"Jacobus Henricus van 't Hoff","University of Paris"
"Henri Becquerel","École Polytechnique"
"Henri Becquerel","École des ponts ParisTech"
"Henri Moissan","École pratique des hautes études"
"Henri Moissan","Coll%C3%A8ge_de_Meaux"
"Albert Abraham Michelson","Humboldt University of Berlin"
"Albert Abraham Michelson","United States Naval Academy"
"Hermann Emil Fischer","University of Strasbourg"
"Hermann Emil Fischer","University of Bonn"
"William Ramsay","University of Tübingen"
"William Ramsay","University of Strathclyde"
"Heike Kamerlingh Onnes","Heidelberg University"
"Heike Kamerlingh Onnes","University of Groningen"
"Hendrik Lorentz","Leiden University"
"Albrecht Kossel","University of Rostock"
"Albrecht Kossel","University of Strasbourg"
"Wilhelm Ostwald","University of Tartu"
"Paul Sabatier (chemist)","Collège de France"
"J. J. Thomson","University of Manchester"
"J. J. Thomson","University of Cambridge"
"Woodrow Wilson","Princeton University"
"Woodrow Wilson","Davidson College"
"Woodrow Wilson","Johns Hopkins University"
"Woodrow Wilson","University of Virginia School of Law"
"George Bernard Shaw","Wesley College (Dublin)"
"Ronald Ross","Barts and The London School of Medicine and Dentistry"
"Ronald Ross","Worshipful Society of Apothecaries"
"Julius Wagner-Jauregg","University of Vienna"
"Charles Scott Sherrington","Royal College of Surgeons of England"
"Charles Scott Sherrington","Ipswich School"
"Charles Scott Sherrington","Gonville and Caius College Cambridge"
"Theodore Roosevelt","Harvard University"
"Theodore Roosevelt","Columbia University"
"Max Planck","Ludwig Maximilian University of Munich"
"Pierre Curie","Sorbonne"
"Svante Arrhenius","Stockholm University"
"Svante Arrhenius","Uppsala University"
"Eduard Buchner","Ludwig Maximilian University of Munich"
"Willem Einthoven","Utrecht University"
"Frederick Gowland Hopkins","Guy's Hospital"
"Frederick Gowland Hopkins","King's College London"
"Charles Édouard Guillaume","ETH Zurich"
"Philipp Lenard","Heidelberg University"
"Maurice Maeterlinck","Ghent University"
"William Henry Bragg","University of Cambridge"
"Walther Nernst","Humboldt University of Berlin"
"Walther Nernst","University of Zurich"
"Walther Nernst","University of Würzburg"
"Walther Nernst","University of Graz"
"Wilhelm Wien","Humboldt University of Berlin"
"Wilhelm Wien","University of Göttingen"
"Arthur Harden","University of Manchester"
"Arthur Harden","University of Erlangen-Nuremberg"
"Richard Adolf Zsigmondy","Ludwig Maximilian University of Munich"
"Richard Adolf Zsigmondy","Vienna University of Technology"
"Pieter Zeeman","Leiden University"
"Charles G. Dawes","Marietta College"
"Charles G. Dawes","University of Cincinnati College of Law"
"Thomas Hunt Morgan","University of Kentucky"
"Thomas Hunt Morgan","Johns Hopkins University"
"Alfred Werner","University of Zurich"
"Alfred Werner","ETH Zurich"
"Nathan Söderblom","Uppsala University"
"Marie Curie","ESPCI ParisTech"
"Marie Curie","University of Paris"
"Theodore William Richards","Harvard University"
"Theodore William Richards","Haverford College"
"Fritz Haber","Humboldt University of Berlin"
"Fritz Haber","Heidelberg University"
"Fritz Haber","Technical University of Berlin"
"Robert Andrews Millikan","Columbia University"
"Robert Andrews Millikan","Oberlin College"
"Karl Landsteiner","University of Vienna"
"Gustaf Dalén","Chalmers University of Technology"
"Gustaf Dalén","Zürich"
"Fritz Pregl","University of Graz"
"Charles Thomson Rees Wilson","University of Manchester"
"Charles Thomson Rees Wilson","University of Cambridge"
"Jean Baptiste Perrin","École Normale Supérieure"
"Ernest Rutherford","University of Canterbury"
"Ernest Rutherford","University of Cambridge"
"Victor Grignard","University of Lyon"
"Cordell Hull","Cumberland School of Law"
"Richard Willstätter","Ludwig Maximilian University of Munich"
"Hans von Euler-Chelpin","Humboldt University of Berlin"
"Otto Loewi","University of Strasbourg"
"Guglielmo Marconi","University of Bologna"
"Winston Churchill","Harrow School"
"Winston Churchill","Royal Military Academy Sandhurst"
"Johannes Stark","Ludwig Maximilian University of Munich"
"António Egas Moniz","University of Coimbra"
"Carl Bosch","Technical University of Berlin"
"Joseph Erlanger","Johns Hopkins University"
"John James Rickard Macleod","University of Aberdeen"
"Otto Diels","Humboldt University of Berlin"
"Róbert Bárány","University of Vienna"
"Frederick Soddy","Aberystwyth University"
"Frederick Soddy","University of Oxford"
"Heinrich Otto Wieland","Ludwig Maximilian University of Munich"
"Francis William Aston","University of Birmingham"
"Francis William Aston","University of Cambridge"
"Charles Glover Barkla","University of Liverpool"
"Charles Glover Barkla","University of Cambridge"
"George Whipple","Johns Hopkins University"
"Otto Hahn","University of Marburg"
"Owen Willans Richardson","University College London"
"Owen Willans Richardson","University of Cambridge"
"Albert Einstein","University of Zurich"
"Albert Einstein","ETH Zurich"
"Francis Peyton Rous","Johns Hopkins University"
"Francis Peyton Rous","Johns Hopkins University"
"Max von Laue","Humboldt University of Berlin"
"Max von Laue","University of Göttingen"
"Max von Laue","University of Strasbourg"
"Max von Laue","Ludwig Maximilian University of Munich"
"John Boyd Orr 1st Baron Boyd-Orr","University of Glasgow"
"George Marshall","Virginia Military Institute"
"Irving Langmuir","Columbia University"
"Irving Langmuir","University of Göttingen"
"Hans Fischer","University of Marburg"
"Hans Fischer","University of Lausanne"
"Alexander Fleming","St Mary's Hospital Medical School"
"Alexander Fleming","Imperial College London"
