"nationality_label","nationality_freq","prize","lat","lon"
"France",31,"Nobel Peace Prize","46","2"
"Switzerland",14,"Nobel Peace Prize","47","8"
"Germany",56,"NULL","51","9"
"Norway",8,"NULL","62","10"
"Spain",4,"NULL","40","-4"
"Italy",12,"NULL","42.83333333","12.83333333"
"Denmark",9,"Nobel Peace Prize","56","10"
"Poland",5,"NULL","52","20"
"Netherlands",8,"NULL","52.5","5.75"
"Ireland",5,"NULL","53","-8"
"United Kingdom",50,"Nobel Prize in Physiology or Medicine","54","-2"
"Sweden",23,"NULL","62","15"
"India",3,"NULL","20","77"
"Belgium",5,"NULL","50.83333333","4"
"United States",158,"Nobel Prize in Physiology or Medicine","38","-97"
"Austria",6,"Nobel Prize in Physiology or Medicine","47.33333333","13.33333333"
"Hungary",3,"{Royal Society|Nobel Prize in Chemistry}","47","20"
"Argentina",3,"Nobel Prize in Physiology or Medicine","-34","-64"
"Finland",2,"NULL","64","26"
"Israel",8,"NULL","31.47","35.13"
"Canada",12,"Nobel Prize in Physiology or Medicine","60","-95"
"Croatia",1,"Nobel Prize in Literature","45.16666666","15.5"
"Japan",11,"NULL","36","138"
"Guatemala",2,"NULL","15.5","-90.25"
"Australia",6,"Nobel Prize in Physiology or Medicine","-27","133"
"South Africa",3,"Nobel Prize in Physiology or Medicine","-29","24"
"Iceland",1,"NULL","65","-18"
"Bulgaria",1,"NULL","43","25"
"Greece",1,"NULL","39","22"
"Egypt",3,"Nobel Prize in Literature","27","30"
"Romania",1,"{Nobel Prize in Physiology or Medicine|National Medal of Science}","46","25"
"Saint Lucia",2,"Nobel Memorial Prize in Economic Sciences","13.88333333","-60.96666666"
"Portugal",1,"NULL","39.5","-8"
"Colombia",1,"NULL","4","-72"
"Algeria",1,"{Nobel Prize in Physics|Lilienfeld Prize|Harvey Prize}","28","3"
"Ghana",1,"NULL","8","-2"
"Bangladesh",1,"{Congressional Gold Medal|Aga Khan Award for Architecture|World Food Prize|Nobel Peace Prize}","24","90"
"Cyprus",1,"IZA Prize in Labor Economics","35","33"
"Turkey",1,"NULL","39","35"
"Liberia",1,"Nobel Peace Prize","6.5","-9.5"
"Yemen",1,"Nobel Peace Prize","15","48"
