"name","nationality_label","prize","lat","lon"
"Frédéric Passy","France","Nobel Peace Prize","46","2"
"Henry Dunant","Switzerland","Nobel Peace Prize","47","8"
"Paul Heyse","Germany","Nobel Prize in Literature","51","9"
"Frédéric Mistral","France","Nobel Prize in Literature","46","2"
"Bjørnstjerne Bjørnson","Norway","Nobel Prize in Literature","62","10"
"José Echegaray","Spain","Nobel Prize in Literature","40","-4"
"Giosuè Carducci","Italy","Nobel Prize in Literature","42.83333333","12.83333333"
"Adolf von Baeyer","Germany","Nobel Prize in Chemistry","51","9"
"Fredrik Bajer","Denmark","Nobel Peace Prize","56","10"
"Sully Prudhomme","France","Nobel Prize in Literature","46","2"
"Ferdinand Buisson","France","Nobel Peace Prize","46","2"
"Robert Koch","Germany","Nobel Prize in Physiology or Medicine","51","9"
"Camillo Golgi","Italy","Nobel Prize in Physiology or Medicine","42.83333333","12.83333333"
"Anatole France","France","Nobel Prize in Literature","46","2"
"Carl Spitteler","Switzerland","Nobel Prize in Literature","47","8"
"Charles Louis Alphonse Laveran","France","Nobel Prize in Physiology or Medicine","46","2"
"Wilhelm Röntgen","Germany","Nobel Prize in Physics","51","9"
"Élie Metchnikoff","Russian Federation","Nobel Prize in Physiology or Medicine","60","100"
"Henryk Sienkiewicz","Poland","Nobel Prize in Literature","52","20"
"Otto Wallach","Germany","Nobel Prize in Chemistry","51","9"
"Ivan Pavlov","Russian Federation","Nobel Prize in Physiology or Medicine","60","100"
"Karl Ferdinand Braun","Germany","Nobel Prize in Physics","51","9"
"Henri Moissan","France","Nobel Prize in Chemistry","46","2"
"Santiago Ramón y Cajal","Spain","Nobel Prize in Physiology or Medicine","40","-4"
"Hendrik Lorentz","Netherlands","Nobel Prize in Physics","52.5","5.75"
"Wilhelm Ostwald","Germany","Nobel Prize in Chemistry","51","9"
"Emil Adolf von Behring","Germany","Nobel Prize in Physiology or Medicine","51","9"
"Paul Sabatier (chemist)","France","Nobel Prize in Chemistry","46","2"
"George Bernard Shaw","Ireland","Nobel Prize in Literature","53","-8"
"Ronald Ross","United Kingdom","Nobel Prize in Physiology or Medicine","54","-2"
"Charles Scott Sherrington","United Kingdom","Nobel Prize in Physiology or Medicine","54","-2"
"Karl Adolph Gjellerup","Denmark","Nobel Prize in Literature","56","10"
"Selma Lagerlöf","Sweden","Nobel Prize in Literature","62","15"
"Max Planck","Germany","Nobel Prize in Physics","51","9"
"Christiaan Eijkman","Netherlands","Nobel Prize in Physiology or Medicine","52.5","5.75"
"Pierre Curie","France","Nobel Prize in Physics","46","2"
"Svante Arrhenius","Sweden","Nobel Prize in Chemistry","62","15"
"Verner von Heidenstam","Sweden","Nobel Prize in Literature","62","15"
"Eduard Buchner","Germany","Nobel Prize in Chemistry","51","9"
"Willem Einthoven","Netherlands","Nobel Prize in Physiology or Medicine","52.5","5.75"
"Frederick Gowland Hopkins","United Kingdom","Nobel Prize in Physiology or Medicine","54","-2"
"Rabindranath Tagore","India","Nobel Prize in Literature","20","77"
"Charles Édouard Guillaume","Switzerland","Nobel Prize in Physics","47","8"
"Philipp Lenard","Germany","Nobel Prize in Physics","51","9"
"Gerhart Hauptmann","Germany","Nobel Prize in Literature","51","9"
"Allvar Gullstrand","Sweden","Nobel Prize in Physiology or Medicine","62","15"
"Maurice Maeterlinck","Belgium","Nobel Prize in Literature","50.83333333","4"
"Erik Axel Karlfeldt","Sweden","Nobel Prize in Literature","62","15"
"Thomas Hunt Morgan","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Romain Rolland","France","Nobel Prize in Literature","46","2"
"Alfred Werner","Switzerland","Nobel Prize in Chemistry","47","8"
"Nathan Söderblom","Sweden","Nobel Peace Prize","62","15"
"Charles Nicolle","France","Nobel Prize in Physiology or Medicine","46","2"
"Emily Greene Balch","United States","Nobel Peace Prize","38","-97"
"Luigi Pirandello","Italy","Nobel Prize in Literature","42.83333333","12.83333333"
"Johannes Fibiger","Denmark","Nobel Prize in Physiology or Medicine","56","10"
"Theodore William Richards","United States","Nobel Prize in Chemistry","38","-97"
"Robert Andrews Millikan","United States","Nobel Prize in Physics","38","-97"
"Karl Landsteiner","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Gustaf Dalén","Sweden","Nobel Prize in Physics","62","15"
"Hans Spemann","Germany","Nobel Prize in Physiology or Medicine","51","9"
"Charles Thomson Rees Wilson","United Kingdom","Nobel Prize in Physics","54","-2"
"Ivan Bunin","Russian Federation","Nobel Prize in Literature","60","100"
"Jean Baptiste Perrin","France","Nobel Prize in Physics","46","2"
"Grazia Deledda","Italy","Nobel Prize in Literature","42.83333333","12.83333333"
